ID,CustomerCode,Name,Email,Phone,CreditLimit,createdAt,createdBy,modifiedAt,modifiedBy
550e8400-e29b-41d4-a716-446655440016,CUST016,Aarav Khanna,aarav.khanna@gmail.com,9876543225,450000.00,2026-05-15T11:15:00Z,admin,2026-05-15T11:15:00Z,admin
550e8400-e29b-41d4-a716-446655440017,CUST017,Simran Kaur,simran.kaur@gmail.com,9876543226,275000.00,2026-05-15T11:20:00Z,admin,2026-05-15T11:20:00Z,admin
550e8400-e29b-41d4-a716-446655440018,CUST018,Karan Malhotra,karan.malhotra@gmail.com,9876543227,310000.00,2026-05-15T11:25:00Z,admin,2026-05-15T11:25:00Z,admin
550e8400-e29b-41d4-a716-446655440019,CUST019,Ritika Sharma,ritika.sharma@gmail.com,9876543228,290000.00,2026-05-15T11:30:00Z,admin,2026-05-15T11:30:00Z,admin
550e8400-e29b-41d4-a716-446655440020,CUST020,Varun Sethi,varun.sethi@gmail.com,9876543229,520000.00,2026-05-15T11:35:00Z,admin,2026-05-15T11:35:00Z,admin
550e8400-e29b-41d4-a716-446655440021,CUST021,Ishita Jain,ishita.jain@gmail.com,9876543230,360000.00,2026-05-15T11:40:00Z,admin,2026-05-15T11:40:00Z,admin
550e8400-e29b-41d4-a716-446655440022,CUST022,Nitin Verma,nitin.verma@gmail.com,9876543231,240000.00,2026-05-15T11:45:00Z,admin,2026-05-15T11:45:00Z,admin
550e8400-e29b-41d4-a716-446655440023,CUST023,Meera Nair,meera.nair@gmail.com,9876543232,410000.00,2026-05-15T11:50:00Z,admin,2026-05-15T11:50:00Z,admin
550e8400-e29b-41d4-a716-446655440024,CUST024,Sachin Kulkarni,sachin.kulkarni@gmail.com,9876543233,295000.00,2026-05-15T11:55:00Z,admin,2026-05-15T11:55:00Z,admin
550e8400-e29b-41d4-a716-446655440025,CUST025,Tanya Arora,tanya.arora@gmail.com,9876543234,330000.00,2026-05-15T12:00:00Z,admin,2026-05-15T12:00:00Z,admin
550e8400-e29b-41d4-a716-446655440026,CUST026,Rajeev Menon,rajeev.menon@gmail.com,9876543235,600000.00,2026-05-15T12:05:00Z,admin,2026-05-15T12:05:00Z,admin
550e8400-e29b-41d4-a716-446655440027,CUST027,Pallavi Joshi,pallavi.joshi@gmail.com,9876543236,270000.00,2026-05-15T12:10:00Z,admin,2026-05-15T12:10:00Z,admin
550e8400-e29b-41d4-a716-446655440028,CUST028,Harsh Vardhan,harsh.vardhan@gmail.com,9876543237,340000.00,2026-05-15T12:15:00Z,admin,2026-05-15T12:15:00Z,admin
550e8400-e29b-41d4-a716-446655440029,CUST029,Divya Shetty,divya.shetty@gmail.com,9876543238,255000.00,2026-05-15T12:20:00Z,admin,2026-05-15T12:20:00Z,admin
550e8400-e29b-41d4-a716-446655440030,CUST030,Akhil Bansal,akhil.bansal@gmail.com,9876543239,470000.00,2026-05-15T12:25:00Z,admin,2026-05-15T12:25:00Z,admin
550e8400-e29b-41d4-a716-446655440031,CUST031,Shreya Pillai,shreya.pillai@gmail.com,9876543240,390000.00,2026-05-15T12:30:00Z,admin,2026-05-15T12:30:00Z,admin
550e8400-e29b-41d4-a716-446655440032,CUST032,Vivek Tiwari,vivek.tiwari@gmail.com,9876543241,285000.00,2026-05-15T12:35:00Z,admin,2026-05-15T12:35:00Z,admin
550e8400-e29b-41d4-a716-446655440033,CUST033,Rhea Kapoor,rhea.kapoor@gmail.com,9876543242,510000.00,2026-05-15T12:40:00Z,admin,2026-05-15T12:40:00Z,admin
550e8400-e29b-41d4-a716-446655440034,CUST034,Siddharth Rao,siddharth.rao@gmail.com,9876543243,265000.00,2026-05-15T12:45:00Z,admin,2026-05-15T12:45:00Z,admin
550e8400-e29b-41d4-a716-446655440035,CUST035,Ananya Chawla,ananya.chawla@gmail.com,9876543244,375000.00,2026-05-15T12:50:00Z,admin,2026-05-15T12:50:00Z,admin
